iter	RMSE
0	0.5436318365
1	0.5263927706
2	0.5108642872
3	0.4960611127
4	0.4821489444
5	0.4686800967
6	0.4549859043
7	0.4424249399
8	0.4304952162
9	0.4199233099
10	0.408607163
11	0.398043757
12	0.3884929685
13	0.3788392632
14	0.3699786842
15	0.3607115846
16	0.3518627657
17	0.3446866899
18	0.3371604802
19	0.3304031698
20	0.3234435064
21	0.3180534342
22	0.3114952708
23	0.3057823266
24	0.2995526105
25	0.2940770733
26	0.2892044043
27	0.2841442761
28	0.2790034882
29	0.2742036756
30	0.2692062788
31	0.2646943129
32	0.2602158129
33	0.2561607282
34	0.2525446888
35	0.2486458528
36	0.2452034127
37	0.2418620652
38	0.2384452403
39	0.2352731813
40	0.2326789008
41	0.2303908277
42	0.2272634116
43	0.2245775522
44	0.2219829625
45	0.2192517958
46	0.2169343389
47	0.2145656499
48	0.2125339798
49	0.2105880618
50	0.2087441121
51	0.206575428
52	0.2048509208
53	0.2031752128
54	0.2014353397
55	0.1997365762
56	0.1982722214
57	0.1966635802
58	0.1953174618
59	0.1940009666
60	0.1928031111
61	0.191405888
62	0.1903804002
63	0.1888174435
64	0.1875495885
65	0.1865812613
66	0.1858981406
67	0.184871403
68	0.1839096114
69	0.1826834271
70	0.1817917833
71	0.1807942722
72	0.1799324865
73	0.1792211697
74	0.1783644442
75	0.1775905366
76	0.1765531013
77	0.1757564528
78	0.1751077717
79	0.1742926464
80	0.1737037871
81	0.1730286211
82	0.1724861343
83	0.1719850286
84	0.1713003205
85	0.170711261
86	0.1702056437
87	0.1695865709
88	0.1688070109
89	0.168171058
90	0.1674458781
91	0.1669751063
92	0.1663494996
93	0.165896111
94	0.1654790258
95	0.1648543867
96	0.1644995377
97	0.1640092126
98	0.1636656522
99	0.1629794346
100	0.1626224301
101	0.1621776471
102	0.1616269327
103	0.1610816668
104	0.1607357497
105	0.1603600529
106	0.1601397283
107	0.1598283657
108	0.1592643246
109	0.1588929948
110	0.1585800659
111	0.1582676224
112	0.1578825162
113	0.1576683732
114	0.1573953738
115	0.1571067892
116	0.156832043
117	0.1565245968
118	0.1562383128
119	0.1557660766
120	0.1555222658
121	0.1552558876
122	0.1549127123
123	0.1546830045
124	0.1544284261
125	0.1541932225
126	0.1538691886
127	0.1536619965
128	0.1534003985
129	0.1532791505
130	0.1530005527
131	0.1528624109
132	0.1524901434
133	0.1522840538
134	0.15209594
135	0.1518973823
136	0.1517132954
137	0.1514457937
138	0.1513286695
139	0.151161175
140	0.1509900121
141	0.1507910709
142	0.1505966294
143	0.1503767233
144	0.1503162047
145	0.1501601043
146	0.1501034343
147	0.1499239233
148	0.1495790302
149	0.1494597306
150	0.1491839035
151	0.1489128752
152	0.148657555
153	0.1484514493
154	0.1481773687
155	0.1481262209
156	0.1479570807
157	0.1476506537
158	0.1474164204
159	0.1471859781
160	0.1471264034
161	0.1470208301
162	0.1466651778
163	0.1465359391
164	0.1462006399
165	0.1460127168
166	0.1458377328
167	0.1456297851
168	0.1452973361
169	0.1452596883
170	0.1451907012
171	0.145129597
172	0.1449160548
173	0.1445316834
174	0.1444729878
175	0.1444309312
176	0.1439819236
177	0.1437423046
178	0.1434860053
179	0.1432971908
180	0.1431269272
181	0.1428979775
182	0.1426838687
183	0.1426286135
184	0.1423796377
185	0.1421278384
186	0.1420361743
187	0.1419316061
188	0.1416561731
189	0.141363486
190	0.1413020626
191	0.1409826493
192	0.1408878926
193	0.1406709116
194	0.1404369319
195	0.1403870769
196	0.1401103606
197	0.1400837336
198	0.1397615207
199	0.1395062596
200	0.139344328
201	0.1392267378
202	0.139177353
203	0.1391325665
204	0.1390858501
205	0.1390403842
206	0.1388913788
207	0.1387242621
208	0.1386755357
209	0.1382986406
210	0.1379806006
211	0.1377986653
212	0.1375300672
213	0.1374823215
214	0.1373767616
215	0.1373336932
216	0.1372121903
217	0.1370856904
218	0.1370433334
219	0.1367209306
220	0.1366770065
221	0.1364267078
222	0.136148749
223	0.136047649
224	0.1359203723
225	0.1356286681
226	0.1355240493
227	0.1352760321
228	0.1349367098
229	0.1348150092
230	0.1344914456
231	0.1344012341
232	0.1343000818
233	0.134254822
234	0.1342051276
235	0.1341616109
236	0.134114043
237	0.1339074368
238	0.1338655327
239	0.1337802485
240	0.133739372
241	0.133694557
242	0.133602146
243	0.1335585194
244	0.1333854685
245	0.133276213
246	0.1332336221
247	0.1331100715
248	0.1328841994
249	0.1328433551
250	0.1327675721
251	0.1327302599
252	0.1326905923
253	0.1326519876
254	0.1326140965
255	0.1325250926
256	0.1324881766
257	0.1324097875
258	0.1323738208
259	0.1323387813
260	0.1323045616
261	0.1322712193
262	0.1322387415
263	0.1319321754
264	0.1317379112
265	0.131705982
266	0.1316750306
267	0.1314546927
268	0.1314242567
269	0.1311804113
270	0.1309450656
271	0.1308397404
272	0.1307674969
273	0.1304683072
274	0.1302688651
275	0.1302390362
276	0.1301677464
277	0.1301386572
278	0.1301102379
279	0.1300388444
280	0.12987711
281	0.1298492513
282	0.1295669255
283	0.129267475
284	0.1292401344
285	0.1289588941
286	0.1288456906
287	0.1286158572
288	0.1285014167
289	0.1284379468
290	0.1282838148
291	0.1281463546
292	0.1278785254
293	0.1276525309
294	0.1276256055
295	0.1274299341
296	0.1273689614
297	0.1273085807
298	0.127254746
299	0.1271066074
300	0.1270452473
301	0.1269726212
302	0.1269269574
303	0.126867623
304	0.1265794904
305	0.1262723532
306	0.126011885
307	0.125748513
308	0.1256975494
309	0.1255927538
310	0.1253931493
311	0.1251562883
312	0.1250191848
313	0.1249147565
314	0.1248673964
315	0.124637031
316	0.1246094964
317	0.124564253
318	0.1245341036
319	0.124493618
320	0.1242682427
321	0.1242180285
322	0.1241549566
323	0.1241036208
324	0.1239417526
325	0.1237345899
326	0.1235006628
327	0.1234568364
328	0.1232206099
329	0.1231940757
330	0.1231570158
331	0.1229427026
332	0.1228353651
333	0.1227945831
334	0.1226031458
335	0.1224057228
336	0.1223797849
337	0.1221765205
338	0.1221420296
339	0.1219159635
340	0.1217062305
341	0.1215943082
342	0.1214242699
343	0.1213967042
344	0.1213598252
345	0.1211462857
346	0.121113737
347	0.1210852938
348	0.1210445377
349	0.1208460631
350	0.1208026087
351	0.1206246286
352	0.1204181319
353	0.12025307
354	0.1200713264
355	0.1198655042
356	0.1198339445
357	0.1197354481
358	0.1197112871
359	0.1195890156
360	0.1194201681
361	0.1193814353
362	0.1192550129
363	0.1192311816
364	0.1191971345
365	0.1190139113
366	0.1188578925
367	0.118835093
368	0.1187150476
369	0.1185803557
370	0.1184299795
