iter	Passed	Remaining
0	172	172034
1	173	86711
2	175	58207
3	176	43835
4	177	35296
5	178	29621
6	180	25579
7	181	22536
8	183	20163
9	184	18235
10	185	16684
11	186	15389
12	188	14289
13	189	13347
14	190	12532
15	192	11821
16	193	11192
17	194	10620
18	196	10120
19	197	9671
20	198	9266
21	200	8893
22	201	8557
23	202	8247
24	204	7963
25	205	7699
26	206	7455
27	208	7230
28	209	7027
29	211	6837
30	213	6664
31	214	6499
32	216	6339
33	217	6188
34	219	6048
35	220	5917
36	222	5792
37	224	5672
38	225	5563
39	227	5453
40	228	5349
41	230	5247
42	231	5150
43	232	5057
44	234	4969
45	235	4887
46	237	4807
47	238	4732
48	240	4662
49	241	4594
50	243	4523
51	244	4456
52	245	4391
53	247	4329
54	248	4268
55	249	4209
56	250	4152
57	252	4097
58	253	4047
59	255	3998
60	256	3953
61	258	3908
62	259	3862
63	261	3819
64	262	3778
65	264	3737
66	264	3690
67	266	3650
68	267	3615
69	269	3578
70	270	3544
71	272	3513
72	274	3480
73	275	3448
74	277	3419
75	278	3390
76	280	3359
77	281	3329
78	283	3301
79	284	3276
80	286	3249
81	287	3221
82	289	3195
83	290	3169
84	292	3144
85	293	3118
86	294	3094
87	296	3069
88	297	3046
89	299	3024
90	300	3003
91	302	2982
92	303	2960
93	305	2941
94	306	2921
95	308	2901
96	309	2880
97	310	2861
98	312	2842
99	313	2825
100	315	2806
101	316	2788
102	318	2772
103	319	2754
104	321	2737
105	322	2720
106	324	2704
107	325	2688
108	326	2672
109	328	2656
110	329	2641
111	331	2627
112	332	2612
113	334	2597
114	335	2582
115	337	2570
116	338	2557
117	340	2542
118	341	2528
119	343	2516
120	344	2505
121	346	2493
122	348	2482
123	349	2470
124	351	2457
125	352	2444
126	353	2432
127	355	2420
128	356	2408
129	358	2396
130	359	2385
131	361	2374
132	362	2362
133	363	2351
134	365	2341
135	366	2331
136	368	2321
137	369	2311
138	371	2300
139	372	2290
140	374	2281
141	376	2272
142	377	2262
143	379	2252
144	380	2242
145	381	2232
146	383	2222
147	384	2213
148	385	2203
149	387	2193
150	388	2184
151	389	2175
152	391	2165
153	392	2156
154	393	2147
155	395	2137
156	396	2128
157	397	2119
158	399	2111
159	400	2102
160	401	2093
161	403	2084
162	404	2076
163	405	2068
164	407	2061
165	408	2054
166	410	2046
167	411	2038
168	412	2030
169	413	2021
170	415	2012
171	416	2004
172	417	1997
173	419	1990
174	420	1981
175	421	1974
176	423	1967
177	424	1960
178	425	1953
179	427	1945
180	428	1938
181	429	1931
182	431	1924
183	432	1917
184	433	1910
185	435	1903
186	436	1897
187	437	1890
188	438	1883
189	440	1876
190	441	1869
191	442	1863
192	444	1857
193	445	1850
194	446	1844
195	447	1837
196	449	1832
197	450	1825
198	452	1821
199	453	1815
200	455	1810
201	456	1804
202	458	1799
203	459	1793
204	463	1798
205	466	1797
206	467	1792
207	469	1787
208	470	1781
209	472	1777
210	473	1772
211	475	1766
212	476	1760
213	477	1755
214	479	1750
215	480	1745
216	482	1740
217	483	1734
218	484	1729
219	486	1724
220	487	1718
221	488	1713
222	490	1708
223	491	1702
224	492	1697
225	494	1692
226	495	1688
227	497	1683
228	498	1679
229	500	1674
230	501	1669
231	502	1665
232	504	1659
233	505	1655
234	506	1650
235	508	1645
236	509	1640
237	510	1635
